# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here
#
#
EkectroniclBreakbeatlJungle|Electronic;Breakbeat;Jungle
Classic Roc|Classic Rock
Classic Rock|Classic Rock
Classical|Classical
Classical\; Contemporary|Classical;Contemporary
Classical; Contemporary|Classical;Contemporary
Classical\;Electronic;Modern;Modern Classical;Baroque;Ambient|Classical;Electronic;Modern;Modern Classical;Baroque;Ambient
Classical;Electronic;Modern;Modern Classical;Baroque;Ambient|Classical;Electronic;Modern;Modern Classical;Baroque;Ambient
Classical\;Electronic;Modern;Modern Classical;Baroque;Ambient;Downtempo|Classical;Electronic;Modern;Modern Classical;Baroque;Ambient;Downtempo
Classical;Electronic;Modern;Modern Classical;Baroque;Ambient;Downtempo|Classical;Electronic;Modern;Modern Classical;Baroque;Ambient;Downtempo
Classical Impressionist|Classical;Impressionist
Clicks / Glitch|Clicks;Glitch
Club|Club;Dance
Club-House|Club-House;Dance
Club Promo|Club Promo;Dance
Club Traxx|Club Traxx;Dance
Coldwave|Coldwave
Collage|Collage
Comedy|Comedy
Compas|Electronic
Conscious|Conscious
Contemplative|Contemplative
Contemporary|Contemporary
Contemporary Classical|Contemporary Classical
Contemporary Jazz|Contemporary Jazz
Contemporary Music|Contemporary Music
Contemporary R&B|Contemporary R&B
Contemporary RnB|Contemporary R&B
Contemporray Jazz|Contemporray Jazz
Continuous Music|Classical;Neo-Classical
Cool Jazz|Cool Jazz
Cool-Jazz|Cool Jazz
Copyright Infringement|Copyright Infringement
Country|Country
& Country|Folk, World, & Country
Country-Alt Country|Alt. Country
Country Blues|Country Blues
Country Rock|Country Rock
Crossover|Crossover
Crunk|Crunk
Ctronic|Electronic
Cubano|Cubano
Cult|Cult
Cut-up|Cut-up
Cut-up/DJ|Cut-up;DJ
Dance|Dance
Dance/|Dance
Dance Bitches|Dance
Dance/Dance|Dance
Dance & DJ|Dance;DJ
Dance Hall|Dance Hall
Dance & House|Dance;House
Dance-pop|Dance-pop
Dance Pop|Dance-Pop
Dance Punk|Dance-Punk
Dance-Punk|Dance-Punk
Dance Rock|Dance-Rock
Dance-Rock|Dance-Rock
Dancefloor|Dancefloor
Dancehall|Dancehall
Dancehall-Reggae|Dancehall;Reggae
Dancehall Reggae|Dancehall;Reggae
Dark|Dark
Dark Ambient|Dark Ambient
DARK AMBIENT / DRONE / METAL|Dark Ambient;Drone;Metal
Dark Lo-Fi|Dark Lo-Fi
Dark Techno|Dark Techno
Dark Wave|Darkwave
Darkwave|Darkwave
Datatronics|Datatronics
DBlues|Delta Blues
Death Metal|Death Metal
Deep House|Deep House
Deep Techno|Deep Techno
DeepHouse|Deep House
Delta Blues|Delta Blues
Dementia|Dementia
Desi|Desi
Devoltional|Devotional
Devotional|Devotional
Dialogue|Dialogue
Disco|Disco
DISCO / EDITS / FUNK|Disco;Breaks;Cut-up;Edits;Funk
Disco Punk|Disco Punk
DJ Mix Session|DJ
DnB|DnB
Donk|Donk
Doo Wop|Doo Wop
Doom Metal|Doom Metal
Dowentempo|Downtempo
Downbeat|Downbeat
Downbeat Electronic|Downbeat;Electronic
Downtempo|Downtempo
Downtempo, Tribal, New Age|Downtempo;Tribal;New Age
DowntempoSynth-pop|Downtempo;Synth-pop
Drag|Drag
Drama|Drama
Drawbar Organ Electronic Bass Music|Drawbar Organ;Electronic;Bass Music
Dream|Dream Pop
Dream Pop|Dream Pop;Dreampop
Dream Pop, Ethnic Fusion|Dream Pop;Ethnic Fusion
Dreampop|Dream Pop;Dreampop
Drone|Drone
Drone Metal|Drone Metal
Drum|Drum & Bass;DnB;Drum And Bass
Drum And Bass|Drum & Bass;DnB;Drum And Bass
Drum & Bass|Drum & Bass;DnB;Drum And Bass
Drum n Bass|Drum & Bass;DnB;Drum And Bass
Drum'N'Bass, Trip-Hop|Drum & Bass;DnB;Drum And Bass;Trip-Hop;Trip Hop
DSP|Electronic
datatronics|Datatronics
Dub|Dub
Dub Disco|Dub Disco
Dub, Future Jazz, Downtempo|Dub;Future Jazz;Downtempo
Dub House|Dub House
Dub Poetry|Dub Poetry
Dub Reggae|Dub Reggae
Dub Reggea|Dub Reggae
Dub Techno|Dub Techno
Dub Technoi|Dub Techno
Dubstep|Dubstep
DUBSTEP  GRIME|Dubstep;Grime
Dubstep  Grime|Dubstep;Grime
Dubstep / Grime / Funky|Dubstep;Grime;Funky
Dubstep  Grime  Funky|Dubstep;Grime;Funky
DubTechno|Dub Techno
Dungeon Synth|Dungeon Synth
E|Electronic
Early Electronic|Early Electronic;Electronic
East Coast Blues|East Coast Blues
Easy Listening|Easy Listening
EBM|EBM
Eclectic|Eclectic
Ectronic|Electronic
Ekectronic|Electronic
El|Electronic
Ele|Electronic
Electonic|Electronic
Electreonic|Electronic
Electric Blues|Electric Blues
Electric Blues, Breakbeat, Lo-Fi|Electric Blues;Breakbeat;Lo-Fi
Electro|Electro
Electro-Acoustic|Electro-Acoustic
Electro Acoustic|Electro-Acoustic
Electro-Football|Electro-Football
Electro House|Electro House
Electro-Pop|Electro-Pop;Electropop
Electro Rock|Electro Rock
Electro Swing|Electro Swing
Electro  Synthpop|Electro;Synth-pop
Electro, Techno|Electro;Techno
Electro-Techno|Electro;Techno
Electro-World|Electro;World
Electrobic|Electronic
Electroclash|Electroclash
Electromic|Electronic
Electroni|Electronic
ElectroniBroken Beat|Electronic;Broken Beat
Electronic|Electronic
Electronic/|Electronic
ELECTRONIC|Electronic
Electronic*|Electronic
Electronic : Abstract, Downtempo, Synth-Pop|Electronic;Abstract;Downtempo;Synth-pop
Electronic\; Abstract; Drone; Ambient|Electronic;Abstract;Drone;Ambient
Electronic; Abstract; Drone; Ambient|Electronic;Abstract;Drone;Ambient
Electronic\; Abstract; Experimental|Electronic;Abstract;Experimental
Electronic; Abstract; Experimental|Electronic;Abstract;Experimental
